signal_time,相对强弱信号,BTCUSDT,ETHUSDT,SOLUSDT,,处理后等权持仓,BTCUSDT,ETHUSDT,SOLUSDT,,return,diff,pnl
2025/7/24 20:15,,-0.013083339,0.07119143,-0.12914467,,,0,0.5,-0.5,,8.31E-05,0.002477668,0.1157%
2025/7/24 20:20,,0.001568198,0.072722435,-0.115691304,,,0,0.5,-0.5,,-4.14E-05,0.001024172,0.1116%
2025/7/24 20:25,,-0.003598213,0.042942762,-0.124245286,,,0,0.5,-0.5,,8.12E-07,0.001126144,0.1117%
2025/7/24 20:30,,-0.03508532,0.082479,-0.10916722,,,0,0.5,-0.5,,-0.000126811,0.005182013,0.0990%
2025/7/24 20:35,,-0.002235889,0.07484567,-0.13074636,,,0,0.5,-0.5,,-5.86E-05,0.001170799,0.0931%
2025/7/24 20:40,,-0.019999087,0.060014844,-0.116752684,,,0,0.5,-0.5,,-1.20E-05,0.003219042,0.0919%
2025/7/24 20:45,,-0.000636876,0.065882325,-0.124522865,,,0,0.5,-0.5,,-1.10E-05,0.000899363,0.0908%
2025/7/24 20:50,,-0.003159702,0.085081935,-0.11200404,,,0,0.5,-0.5,,4.39E-05,0.00128074,0.0952%
2025/7/24 20:55,,-0.002182841,0.066770196,-0.11703217,,,0,0.5,-0.5,,-9.26E-05,0.001068974,0.0860%
2025/7/24 21:00,,-0.009556711,0.054111958,-0.100951254,,,0,0.5,-0.5,,0.000275664,0.001845168,0.1135%
2025/7/24 21:05,,-0.010216415,0.06405246,-0.11847305,,,0,0.5,-0.5,,-3.62E-05,0.00204582,0.1099%
2025/7/24 21:10,,0.007256389,0.07624078,-0.12067789,,,0,0.5,-0.5,,8.20E-05,0.001761878,0.1181%
2025/7/24 21:15,,-0.015317738,0.07076442,-0.13632911,,,0,0.5,-0.5,,-9.39E-06,0.002774692,0.1172%
2025/7/24 21:20,,-0.003914297,0.07718015,-0.14467931,,,0,0.5,-0.5,,1.09E-05,0.001439124,0.1182%
2025/7/24 21:25,,-0.012822509,0.06596756,-0.14184177,,,0,0.5,-0.5,,-5.58E-05,0.002458259,0.1127%
2025/7/24 21:30,,0.000670075,0.057253838,-0.12819034,,,0,0.5,-0.5,,0.000206956,0.000864749,0.1334%
2025/7/24 21:35,,-0.015521348,0.061246276,-0.13648146,,,0,0.5,-0.5,,1.15E-05,0.00274363,0.1345%
2025/7/24 21:40,,-0.002258658,0.08520925,-0.12743115,,,0,0.5,-0.5,,0.000160092,0.001223834,0.1505%
