signal_time,return,diff,pnl
1753850100,-0.000212006,0.002514838,2.7917%
1753850400,0.000295667,0.001054289,2.8213%
1753850700,0.000803596,0.001227674,2.9017%
1753851000,0.000363793,0.0015435,2.9380%
1753851300,0.00033728,0.001872853,2.9718%
1753851600,0.000326672,0.002470635,3.0044%
1753851900,-0.001279103,0.001030744,2.8765%
1753852200,-0.000627397,0.002950552,2.8138%
1753852500,0.000545642,0.002655814,2.8684%
1753852800,0.000309577,0.000945543,2.8993%
1753853100,-0.000692188,0.00260607,2.8301%
1753853400,-0.000745465,0.001167835,2.7555%
1753853700,-0.000235768,0.002434123,2.7320%
1753854000,-0.000259575,0.000974832,2.7060%
1753854300,-6.16E-05,0.002906591,2.6998%
1753854600,-0.000259921,0.002206204,2.6739%
1753854900,0.000296674,0.003137649,2.7035%
1753855200,0.000488163,0.001090106,2.7523%
1753855500,0.000246865,0.003278347,2.7770%
1753855800,-0.000185068,0.001067323,2.7585%
1753856100,0.000866225,0.001304471,2.8451%
1753856400,1.65E-05,0.001692822,2.8468%
1753856700,0.000326552,0.002240067,2.8794%
1753857000,0.000996458,0.000998819,2.9791%
1753857300,7.15E-05,0.003510647,2.9862%
1753857600,-0.000532427,0.001865979,2.9330%
1753857900,-0.000283567,0.001054863,2.9046%
1753858200,-0.000401557,0.002962542,2.8645%
1753858500,-0.001509775,0.001915065,2.7135%
1753858800,0.000890979,0.001949499,2.8026%
1753859100,-0.001102021,0.002006673,2.6924%
1753859400,0.000999691,0.000974749,2.7924%
1753859700,0.000448874,0.00158119,2.8373%
1753860000,0.000732955,0.001447604,2.9106%
1753860300,-0.000809862,0.002471879,2.8296%
1753860600,-0.000790466,0.00277709,2.7505%
1753860900,0.00021196,0.000959281,2.7717%
1753861200,0.001137875,0.00105009,2.8855%
1753861500,0.000197997,0.002310956,2.9053%
1753861800,0.000761456,0.001465148,2.9815%
1753862100,-0.000973606,0.001818756,2.8841%
1753862400,0.000854574,0.002937152,2.9695%
1753862700,0.000661927,0.00254908,3.0357%
1753863000,-0.000825117,0.002279924,2.9532%
1753863300,0.000336682,0.002635281,2.9869%
1753863600,0.00030284,0.00112067,3.0172%
1753863900,0.001528693,0.002247208,3.1701%
1753864200,-0.000832136,0.001867508,3.0868%
1753864500,-0.000568989,0.001974174,3.0299%
1753864800,0.00021363,0.001706457,3.0513%
1753865100,-0.00059193,0.001171965,2.9921%
1753865400,0.001735132,0.001856517,3.1656%
1753865700,0.000643298,0.00095824,3.2300%
1753866000,-0.000373129,0.001687223,3.1926%
1753866300,-0.001033891,0.000968789,3.0893%
1753866600,-0.000159405,0.001085378,3.0733%
1753866900,9.22E-05,0.003077371,3.0825%
1753867200,-0.000293381,0.00165234,3.0532%
1753867500,0.000110467,0.00114296,3.0642%
1753867800,-0.000438878,0.001224319,3.0203%
1753868100,-0.000570362,0.003706562,2.9633%
1753868400,0.000661062,0.002350059,3.0294%
1753868700,-0.000527944,0.001094197,2.9766%
1753869000,0.000315533,0.003919246,3.0082%
1753869300,0.000992343,0.001593819,3.1074%
1753869600,0.000469579,0.001816165,3.1544%
1753869900,-0.000183981,0.000739201,3.1360%
1753870200,0.000723032,0.001503933,3.2083%
1753870500,-0.000429832,0.001961598,3.1653%
1753870800,0.000118848,0.002471682,3.1772%
1753871100,-8.71E-05,0.002622269,3.1685%
1753871400,-0.000593333,0.001608217,3.1091%
1753871700,0.001911611,0.001369275,3.3003%
